-bash-4.2$ python3 train.py --start_time 50 --sequence_length 200 --filter_size 5,7,10 --fc_hidden_nodes 512 --num_epochs 100
Global var initializer
2018-03-19T18:37:46.563335: step 1, loss 3.06232
2018-03-19T18:48:39.735653: step 96, loss 0.997833
2018-03-19T18:48:46.521224: step 97, loss 0.936024
2018-03-19T18:48:55.711380: step 98, loss 0.908785
2018-03-19T18:49:01.671120: step 99, loss 0.932891
2018-03-19T18:49:05.211527: step 100, loss 0.933028
train acc: 0.894058   valid acc: 0.422840     test acc:0.388889
2018-03-19T18:49:24.666743: step 101, loss 0.888227
2018-03-19T18:49:31.041321: step 102, loss 0.92898
2018-03-19T18:49:37.448596: step 103, loss 0.857213
2018-03-19T18:49:40.683226: step 104, loss 0.936059
2018-03-19T18:49:49.862038: step 105, loss 0.828723
2018-03-19T18:49:55.992507: step 106, loss 0.862021
2018-03-19T18:50:02.573470: step 107, loss 0.833802
2018-03-19T18:50:08.471316: step 108, loss 0.895119
2018-03-19T18:50:16.834104: step 109, loss 0.799473
2018-03-19T18:50:23.308171: step 110, loss 0.848411



-bash-4.2$ python3 train.py --start_time 50 --sequence_length 100 --filter_size 3,4,5 --fc_hidden_nodes 512 --num_epochs 100
Global var initializer
2018-03-19T18:52:29.817919: step 1, loss 5.30539
2018-03-19T18:52:33.842014: step 2, loss 2.72962
2018-03-19T18:52:36.769102: step 3, loss 3.09235
2018-03-19T18:52:38.443116: step 4, loss 3.1894
2018-03-19T18:52:41.429903: step 5, loss 2.98422
2018-03-19T18:52:44.382321: step 6, loss 2.8266
2018-03-19T18:52:48.368659: step 7, loss 2.61352
2018-03-19T18:52:50.902754: step 8, loss 2.48234
2018-03-19T18:52:54.599553: step 9, loss 2.55576
2018-03-19T18:52:57.612087: step 10, loss 2.60557
train acc: 0.284753   valid acc: 0.274691     test acc:0.268889
2018-03-19T18:53:05.660298: step 11, loss 2.57438
2018-03-19T18:53:08.027519: step 12, loss 2.52456
2018-03-19T18:53:11.615153: step 13, loss 2.41666
2018-03-19T18:53:14.956211: step 14, loss 2.35174
2018-03-19T18:53:18.213189: step 15, loss 2.38963
2018-03-19T18:53:19.900915: step 16, loss 2.40739
2018-03-19T18:53:23.011462: step 17, loss 2.38172
2018-03-19T18:53:26.879875: step 18, loss 2.34946
2018-03-19T18:53:31.009540: step 19, loss 2.32089
2018-03-19T18:53:32.971563: step 20, loss 2.26629
train acc: 0.398543   valid acc: 0.308642     test acc:0.322222
2018-03-19T18:53:40.650919: step 21, loss 2.22931
2018-03-19T18:53:45.022677: step 22, loss 2.24788
2018-03-19T18:53:47.893656: step 23, loss 2.23706
2018-03-19T18:53:50.385939: step 24, loss 2.26141
2018-03-19T18:53:53.516993: step 25, loss 2.19461
2018-03-19T18:53:56.687426: step 26, loss 2.15084
2018-03-19T18:53:59.924267: step 27, loss 2.16383
2018-03-19T18:54:02.592427: step 28, loss 2.10297
2018-03-19T18:54:06.279563: step 29, loss 2.0938
2018-03-19T18:54:09.428027: step 30, loss 2.09764
train acc: 0.463565   valid acc: 0.348765     test acc:0.331111
2018-03-19T18:54:17.614165: step 31, loss 2.10204
2018-03-19T18:54:19.233883: step 32, loss 2.07146
2018-03-19T18:54:22.631160: step 33, loss 2.03753
2018-03-19T18:54:25.687235: step 34, loss 2.01315
2018-03-19T18:54:28.933217: step 35, loss 2.02317
2018-03-19T18:54:30.760504: step 36, loss 2.02179
2018-03-19T18:54:34.051964: step 37, loss 1.97169
2018-03-19T18:54:37.306374: step 38, loss 1.93882
2018-03-19T18:54:40.564169: step 39, loss 1.95911
2018-03-19T18:54:42.159130: step 40, loss 1.93841
train acc: 0.549327   valid acc: 0.351852     test acc:0.351111
2018-03-19T18:54:49.579443: step 41, loss 1.8874
2018-03-19T18:54:52.763967: step 42, loss 1.9012
2018-03-19T18:54:56.379142: step 43, loss 1.88078
2018-03-19T18:54:58.094982: step 44, loss 1.87034
2018-03-19T18:55:01.081433: step 45, loss 1.82213
2018-03-19T18:55:04.184236: step 46, loss 1.81137
2018-03-19T18:55:07.337192: step 47, loss 1.84146
2018-03-19T18:55:09.141288: step 48, loss 1.80662
2018-03-19T18:55:12.530699: step 49, loss 1.7568
2018-03-19T18:55:15.611749: step 50, loss 1.73773
train acc: 0.619955   valid acc: 0.342593     test acc:0.344444
2018-03-19T18:55:23.019469: step 51, loss 1.76054
2018-03-19T18:55:24.545704: step 52, loss 1.74532
2018-03-19T18:55:27.709751: step 53, loss 1.69975
2018-03-19T18:55:30.455365: step 54, loss 1.67393
2018-03-19T18:55:33.428113: step 55, loss 1.67217
2018-03-19T18:55:35.126687: step 56, loss 1.70982
2018-03-19T18:55:38.212126: step 57, loss 1.62857
2018-03-19T18:55:41.373517: step 58, loss 1.62501
2018-03-19T18:55:44.055026: step 59, loss 1.61956
2018-03-19T18:55:45.606948: step 60, loss 1.61538
train acc: 0.701233   valid acc: 0.354938     test acc:0.371111
2018-03-19T18:55:52.930024: step 61, loss 1.52483
2018-03-19T18:55:55.729840: step 62, loss 1.5767
2018-03-19T18:55:58.748615: step 63, loss 1.53508
2018-03-19T18:56:00.470915: step 64, loss 1.57462
2018-03-19T18:56:03.476417: step 65, loss 1.46643
2018-03-19T18:56:06.585229: step 66, loss 1.48763
2018-03-19T18:56:09.297142: step 67, loss 1.49811
2018-03-19T18:56:10.722494: step 68, loss 1.51069
2018-03-19T18:56:13.497147: step 69, loss 1.41428
2018-03-19T18:56:16.465032: step 70, loss 1.41629
train acc: 0.757848   valid acc: 0.385802     test acc:0.373333
2018-03-19T18:56:23.902798: step 71, loss 1.4357
2018-03-19T18:56:25.497719: step 72, loss 1.45118
2018-03-19T18:56:28.234344: step 73, loss 1.3831
2018-03-19T18:56:31.107978: step 74, loss 1.33983
2018-03-19T18:56:34.234797: step 75, loss 1.35514
2018-03-19T18:56:35.940666: step 76, loss 1.3437
2018-03-19T18:56:39.007461: step 77, loss 1.3863
2018-03-19T18:56:41.753735: step 78, loss 1.30331
2018-03-19T18:56:44.992145: step 79, loss 1.32698
2018-03-19T18:56:46.762559: step 80, loss 1.29109
train acc: 0.765695   valid acc: 0.373457     test acc:0.362222
2018-03-19T18:56:54.338633: step 81, loss 1.28303
2018-03-19T18:56:57.012169: step 82, loss 1.25717
2018-03-19T18:56:59.886570: step 83, loss 1.23469
2018-03-19T18:57:01.452912: step 84, loss 1.25066
2018-03-19T18:57:04.375678: step 85, loss 1.18631
2018-03-19T18:57:07.444574: step 86, loss 1.21031
2018-03-19T18:57:10.380318: step 87, loss 1.15516
2018-03-19T18:57:11.939910: step 88, loss 1.17181
2018-03-19T18:57:14.879558: step 89, loss 1.12139
2018-03-19T18:57:17.787866: step 90, loss 1.11784
train acc: 0.826233   valid acc: 0.358025     test acc:0.384444
2018-03-19T18:57:25.327488: step 91, loss 1.11369
2018-03-19T18:57:27.135548: step 92, loss 1.0838
2018-03-19T18:57:30.022861: step 93, loss 1.08596
2018-03-19T18:57:32.954529: step 94, loss 1.01456
2018-03-19T18:57:36.108889: step 95, loss 1.07459
2018-03-19T18:57:37.816814: step 96, loss 1.07801
2018-03-19T18:57:40.961634: step 97, loss 1.01121
2018-03-19T18:57:43.761426: step 98, loss 0.969306
2018-03-19T18:57:46.735684: step 99, loss 0.996811
2018-03-19T18:57:48.424721: step 100, loss 1.07007
train acc: 0.873318   valid acc: 0.364198     test acc:0.377778
2018-03-19T18:57:55.945251: step 101, loss 0.946499
2018-03-19T18:57:58.810372: step 102, loss 0.967359
2018-03-19T18:58:01.796605: step 103, loss 0.940536
2018-03-19T18:58:03.287808: step 104, loss 0.954169
2018-03-19T18:58:06.113385: step 105, loss 0.908043
2018-03-19T18:58:09.217807: step 106, loss 0.963022
2018-03-19T18:58:12.176194: step 107, loss 0.912604
2018-03-19T18:58:13.833595: step 108, loss 0.882418
2018-03-19T18:58:16.550776: step 109, loss 0.934726
2018-03-19T18:58:19.404498: step 110, loss 0.888805
train acc: 0.876121   valid acc: 0.367284     test acc:0.411111
2018-03-19T18:58:26.380893: step 111, loss 0.887001
2018-03-19T18:58:27.798530: step 112, loss 0.887911
2018-03-19T18:58:30.450702: step 113, loss 0.815194
2018-03-19T18:58:33.551216: step 114, loss 0.843559
2018-03-19T18:58:36.841854: step 115, loss 0.833235
2018-03-19T18:58:38.515416: step 116, loss 0.779074
2018-03-19T18:58:41.260908: step 117, loss 0.779399
2018-03-19T18:58:44.375074: step 118, loss 0.780697
2018-03-19T18:58:47.362625: step 119, loss 0.714832
2018-03-19T18:58:49.190618: step 120, loss 0.766192
train acc: 0.944507   valid acc: 0.385802     test acc:0.420000
2018-03-19T18:58:57.205137: step 121, loss 0.708036
2018-03-19T18:59:00.119899: step 122, loss 0.719669
2018-03-19T18:59:03.066734: step 123, loss 0.699057
2018-03-19T18:59:04.684795: step 124, loss 0.702178
2018-03-19T18:59:07.631150: step 125, loss 0.694466
2018-03-19T18:59:10.832298: step 126, loss 0.686028
2018-03-19T18:59:13.948454: step 127, loss 0.648275
2018-03-19T18:59:15.640082: step 128, loss 0.657452
2018-03-19T18:59:18.498370: step 129, loss 0.650436
2018-03-19T18:59:21.457442: step 130, loss 0.636729
train acc: 0.967489   valid acc: 0.354938     test acc:0.395556
2018-03-19T18:59:29.188387: step 131, loss 0.605607
2018-03-19T18:59:30.654009: step 132, loss 0.672287
2018-03-19T18:59:33.656499: step 133, loss 0.629476
2018-03-19T18:59:36.911634: step 134, loss 0.615173
2018-03-19T18:59:40.050974: step 135, loss 0.603913
2018-03-19T18:59:41.671645: step 136, loss 0.600187
2018-03-19T18:59:44.545927: step 137, loss 0.594908
2018-03-19T18:59:47.513909: step 138, loss 0.553261
2018-03-19T18:59:50.409364: step 139, loss 0.590441
2018-03-19T18:59:52.021675: step 140, loss 0.66759
train acc: 0.971973   valid acc: 0.379630     test acc:0.426667
2018-03-19T18:59:59.684630: step 141, loss 0.540057
2018-03-19T19:00:02.534274: step 142, loss 0.582716
2018-03-19T19:00:05.532551: step 143, loss 0.561166
2018-03-19T19:00:07.142438: step 144, loss 0.589549
2018-03-19T19:00:10.254744: step 145, loss 0.552239
2018-03-19T19:00:13.300152: step 146, loss 0.525294
2018-03-19T19:00:16.120545: step 147, loss 0.532127
2018-03-19T19:00:17.691456: step 148, loss 0.562659
2018-03-19T19:00:20.648077: step 149, loss 0.533676
2018-03-19T19:00:23.699836: step 150, loss 0.541027
train acc: 0.956278   valid acc: 0.376543     test acc:0.411111
2018-03-19T19:00:31.273784: step 151, loss 0.60553
2018-03-19T19:00:32.956124: step 152, loss 0.530677
2018-03-19T19:00:36.155582: step 153, loss 0.530253
2018-03-19T19:00:39.190766: step 154, loss 0.514702
2018-03-19T19:00:42.738073: step 155, loss 0.543339
2018-03-19T19:00:44.496432: step 156, loss 0.470918
2018-03-19T19:00:47.693047: step 157, loss 0.518048
2018-03-19T19:00:50.562593: step 158, loss 0.490063
2018-03-19T19:00:53.971310: step 159, loss 0.487565
2018-03-19T19:00:55.785443: step 160, loss 0.489342
train acc: 0.969170   valid acc: 0.388889     test acc:0.420000
2018-03-19T19:01:03.232067: step 161, loss 0.479435
2018-03-19T19:01:06.953141: step 162, loss 0.470836
2018-03-19T19:01:10.320648: step 163, loss 0.508923
2018-03-19T19:01:12.192584: step 164, loss 0.456203
2018-03-19T19:01:15.431192: step 165, loss 0.487594
2018-03-19T19:01:18.437636: step 166, loss 0.459946
2018-03-19T19:01:21.377626: step 167, loss 0.444322
2018-03-19T19:01:23.086301: step 168, loss 0.426222
2018-03-19T19:01:26.264326: step 169, loss 0.443226
2018-03-19T19:01:29.428755: step 170, loss 0.441293
train acc: 0.978700   valid acc: 0.358025     test acc:0.435556
2018-03-19T19:01:36.727152: step 171, loss 0.482875
2018-03-19T19:01:38.354480: step 172, loss 0.431361
2018-03-19T19:01:42.005967: step 173, loss 0.436102
2018-03-19T19:01:44.958676: step 174, loss 0.430825
2018-03-19T19:01:48.165216: step 175, loss 0.462061
2018-03-19T19:01:49.958134: step 176, loss 0.438224
2018-03-19T19:01:53.226661: step 177, loss 0.413741
2018-03-19T19:01:57.684218: step 178, loss 0.408679
2018-03-19T19:02:02.828589: step 179, loss 0.417148
2018-03-19T19:02:05.366556: step 180, loss 0.427754
train acc: 0.997758   valid acc: 0.404321     test acc:0.426667
2018-03-19T19:02:12.930034: step 181, loss 0.383633
2018-03-19T19:02:15.982513: step 182, loss 0.384827
2018-03-19T19:02:19.175870: step 183, loss 0.392223
2018-03-19T19:02:20.981239: step 184, loss 0.392753
2018-03-19T19:02:24.201670: step 185, loss 0.389939
2018-03-19T19:02:29.020040: step 186, loss 0.385193
2018-03-19T19:02:32.550511: step 187, loss 0.36772
2018-03-19T19:02:34.251379: step 188, loss 0.380165
2018-03-19T19:02:37.255905: step 189, loss 0.370652
2018-03-19T19:02:40.404859: step 190, loss 0.374902
train acc: 0.996637   valid acc: 0.382716     test acc:0.417778




-bash-4.2$  python3 train.py --start_time 0 --sequence_length 400 --filter_size 5,7,10 --fc_hidden_nodes 512 --num_epochs 100
2018-03-19T18:40:22.224443: step 1, loss 4.9172
2018-03-19T18:40:38.314186: step 2, loss 2.84692
2018-03-19T18:40:53.204421: step 3, loss 3.09507
2018-03-19T18:41:02.208430: step 4, loss 3.17702
2018-03-19T18:41:19.080334: step 5, loss 2.75942
2018-03-19T18:41:35.967265: step 6, loss 2.68223
2018-03-19T18:41:51.059732: step 7, loss 2.54851
2018-03-19T18:42:00.774324: step 8, loss 2.58729
2018-03-19T18:42:16.842567: step 9, loss 2.54316
2018-03-19T18:42:32.678739: step 10, loss 2.49787
train acc: 0.297085   valid acc: 0.246914     test acc:0.253333
2018-03-19T18:43:10.997018: step 11, loss 2.44101
2018-03-19T18:43:18.075700: step 12, loss 2.40349
2018-03-19T18:43:31.613012: step 13, loss 2.39722
2018-03-19T18:43:49.961311: step 14, loss 2.39795
2018-03-19T18:44:04.649800: step 15, loss 2.36833
2018-03-19T18:44:15.412232: step 16, loss 2.34137
2018-03-19T18:44:29.807938: step 17, loss 2.31209
2018-03-19T18:44:44.848182: step 18, loss 2.30352
2018-03-19T18:44:57.911748: step 19, loss 2.30035
2018-03-19T18:45:05.327519: step 20, loss 2.28667
train acc: 0.343049   valid acc: 0.259259     test acc:0.260000
2018-03-19T18:45:44.392901: step 21, loss 2.23597
2018-03-19T18:46:00.988809: step 22, loss 2.25124
2018-03-19T18:46:14.545030: step 23, loss 2.22413
2018-03-19T18:46:21.889461: step 24, loss 2.25919
2018-03-19T18:46:36.553247: step 25, loss 2.18542
2018-03-19T18:46:53.706318: step 26, loss 2.18615
2018-03-19T18:47:06.823127: step 27, loss 2.15526
2018-03-19T18:47:14.649940: step 28, loss 2.14291
2018-03-19T18:47:27.960464: step 29, loss 2.12506
2018-03-19T18:47:42.209227: step 30, loss 2.11046
train acc: 0.394619   valid acc: 0.250000     test acc:0.288889
2018-03-19T18:48:22.345878: step 31, loss 2.1054
2018-03-19T18:48:29.579354: step 32, loss 2.10857
2018-03-19T18:48:42.813259: step 33, loss 2.08154
2018-03-19T18:48:59.529285: step 34, loss 2.05453
2018-03-19T18:49:15.657853: step 35, loss 2.0384
2018-03-19T18:49:24.610501: step 36, loss 2.0345
2018-03-19T18:49:37.624670: step 37, loss 2.00801
2018-03-19T18:49:52.464072: step 38, loss 2.00377
2018-03-19T18:50:07.720591: step 39, loss 1.98757
2018-03-19T18:50:17.662468: step 40, loss 1.98327
train acc: 0.464686   valid acc: 0.299383     test acc:0.306667
2018-03-19T18:50:48.328227: step 41, loss 1.94788
2018-03-19T18:50:56.699671: step 42, loss 1.94921
2018-03-19T18:51:10.372273: step 43, loss 1.94398
2018-03-19T18:51:14.329311: step 44, loss 1.91343
2018-03-19T18:51:21.742799: step 45, loss 1.90179
2018-03-19T18:51:30.609924: step 46, loss 1.87838
2018-03-19T18:51:39.271163: step 47, loss 1.87245
2018-03-19T18:51:43.944188: step 48, loss 1.87744
2018-03-19T18:51:53.500318: step 49, loss 1.86026
2018-03-19T18:52:06.843251: step 50, loss 1.82416
train acc: 0.492152   valid acc: 0.354938     test acc:0.313333
2018-03-19T18:52:33.349652: step 51, loss 1.81797
2018-03-19T18:52:40.604233: step 52, loss 1.82545
2018-03-19T18:52:55.636245: step 53, loss 1.79797
2018-03-19T18:53:09.515400: step 54, loss 1.79036
2018-03-19T18:53:23.642815: step 55, loss 1.76362
2018-03-19T18:53:33.310491: step 56, loss 1.74387
2018-03-19T18:53:47.705830: step 57, loss 1.72007
2018-03-19T18:54:01.566082: step 58, loss 1.72399
2018-03-19T18:54:16.387553: step 59, loss 1.75516
2018-03-19T18:54:23.817125: step 60, loss 1.70165
train acc: 0.541480   valid acc: 0.351852     test acc:0.328889
2018-03-19T18:54:56.421275: step 61, loss 1.68324
2018-03-19T18:55:09.474936: step 62, loss 1.68214
2018-03-19T18:55:22.503818: step 63, loss 1.69323
2018-03-19T18:55:29.565727: step 64, loss 1.6827
2018-03-19T18:55:42.328523: step 65, loss 1.64696
2018-03-19T18:55:54.778437: step 66, loss 1.65437
2018-03-19T18:56:07.721855: step 67, loss 1.61675
2018-03-19T18:56:14.667022: step 68, loss 1.69504
2018-03-19T18:56:27.412350: step 69, loss 1.6131
2018-03-19T18:56:39.885074: step 70, loss 1.61004
train acc: 0.543722   valid acc: 0.342593     test acc:0.315556
2018-03-19T18:57:10.342775: step 71, loss 1.6509
2018-03-19T18:57:17.112332: step 72, loss 1.60229
2018-03-19T18:57:29.695003: step 73, loss 1.5985
2018-03-19T18:57:42.139690: step 74, loss 1.56991
2018-03-19T18:57:54.996825: step 75, loss 1.54685
2018-03-19T18:58:01.968304: step 76, loss 1.61418
2018-03-19T18:58:14.301252: step 77, loss 1.49767
2018-03-19T18:58:26.515291: step 78, loss 1.56318
2018-03-19T18:58:38.797994: step 79, loss 1.5019
2018-03-19T18:58:45.940468: step 80, loss 1.53666
train acc: 0.626682   valid acc: 0.373457     test acc:0.357778
2018-03-19T18:59:17.151578: step 81, loss 1.51764
2018-03-19T18:59:30.235884: step 82, loss 1.46474
2018-03-19T18:59:42.785450: step 83, loss 1.48901
2018-03-19T18:59:49.733443: step 84, loss 1.42163
2018-03-19T19:00:02.477454: step 85, loss 1.44928
2018-03-19T19:00:15.436284: step 86, loss 1.4322
2018-03-19T19:00:28.450961: step 87, loss 1.41127
2018-03-19T19:00:35.904232: step 88, loss 1.4005
2018-03-19T19:00:49.170422: step 89, loss 1.40275
2018-03-19T19:01:02.506131: step 90, loss 1.39817
train acc: 0.610426   valid acc: 0.330247     test acc:0.346667
2018-03-19T19:01:34.760589: step 91, loss 1.39472
2018-03-19T19:01:43.014857: step 92, loss 1.37312
2018-03-19T19:01:56.617574: step 93, loss 1.37618
2018-03-19T19:02:12.687181: step 94, loss 1.3578
2018-03-19T19:02:25.526207: step 95, loss 1.32798
2018-03-19T19:02:34.528903: step 96, loss 1.37852
2018-03-19T19:02:48.134570: step 97, loss 1.32164
2018-03-19T19:03:01.317742: step 98, loss 1.33203
2018-03-19T19:03:16.538897: step 99, loss 1.27863
2018-03-19T19:03:24.160286: step 100, loss 1.29571
train acc: 0.658072   valid acc: 0.358025     test acc:0.371111
2018-03-19T19:03:57.632933: step 101, loss 1.27678
2018-03-19T19:04:10.576485: step 102, loss 1.27721
2018-03-19T19:04:23.085640: step 103, loss 1.2906
2018-03-19T19:04:30.882600: step 104, loss 1.29046
2018-03-19T19:04:44.364944: step 105, loss 1.25141
2018-03-19T19:04:57.491839: step 106, loss 1.25064
2018-03-19T19:05:10.434289: step 107, loss 1.24126
2018-03-19T19:05:17.827311: step 108, loss 1.15452
2018-03-19T19:05:30.557738: step 109, loss 1.23635
2018-03-19T19:05:43.998215: step 110, loss 1.19304
train acc: 0.701794   valid acc: 0.354938     test acc:0.348889
2018-03-19T19:06:15.710899: step 111, loss 1.16283
2018-03-19T19:06:22.495573: step 112, loss 1.26157
2018-03-19T19:06:35.214313: step 113, loss 1.14795
2018-03-19T19:06:48.608666: step 114, loss 1.14766
2018-03-19T19:07:01.501324: step 115, loss 1.1737
2018-03-19T19:07:08.476381: step 116, loss 1.14925
2018-03-19T19:07:28.354522: step 117, loss 1.10131
2018-03-19T19:07:40.449058: step 118, loss 1.09238
2018-03-19T19:07:52.519131: step 119, loss 1.0662
2018-03-19T19:08:00.227036: step 120, loss 1.07274
train acc: 0.774103   valid acc: 0.395062     test acc:0.362222
2018-03-19T19:08:38.855110: step 121, loss 1.02572
2018-03-19T19:08:58.281356: step 122, loss 1.06499
2018-03-19T19:09:11.778170: step 123, loss 1.09062
2018-03-19T19:09:18.457786: step 124, loss 1.03724
2018-03-19T19:09:32.775239: step 125, loss 1.00937
2018-03-19T19:09:45.728464: step 126, loss 1.00878
2018-03-19T19:10:01.174143: step 127, loss 1.00101
2018-03-19T19:10:08.309755: step 128, loss 0.94591
2018-03-19T19:10:17.386321: step 129, loss 0.961876
2018-03-19T19:10:28.657323: step 130, loss 0.955239
train acc: 0.807175   valid acc: 0.373457     test acc:0.364444
2018-03-19T19:10:48.914534: step 131, loss 0.974693



